OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.156773 	 TACHO = 1.007824 	 SOURCE = 1.164597 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.156773 	 TACHO = 1.007824 	 SOURCE = 1.164597 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.111980 	 TACHO = 1.007824 	 SOURCE = 1.119805 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.000000 	 TACHO = 1.007824 	 SOURCE = 1.007824 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.022396 	 TACHO = 1.007824 	 SOURCE = 0.985428 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.134377 	 TACHO = 1.007824 	 SOURCE = 0.873448 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.167971 	 TACHO = 1.007824 	 SOURCE = 0.839854 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.167971 	 TACHO = 0.996626 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.167971 	 TACHO = 1.007824 	 SOURCE = 0.839854 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 0.996626 	 SOURCE = 0.817457 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 1.007824 	 SOURCE = 0.828655 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.179169 	 TACHO = 0.996626 	 SOURCE = 0.817457 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.190367 	 TACHO = 1.007824 	 SOURCE = 0.817457 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.190367 	 TACHO = 1.007824 	 SOURCE = 0.817457 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.201565 	 TACHO = 1.007824 	 SOURCE = 0.806259 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.201565 	 TACHO = 1.007824 	 SOURCE = 0.806259 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.201565 	 TACHO = 1.007824 	 SOURCE = 0.806259 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.201565 	 TACHO = 1.007824 	 SOURCE = 0.806259 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.212763 	 TACHO = 1.007824 	 SOURCE = 0.795061 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.212763 	 TACHO = 1.007824 	 SOURCE = 0.795061 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.223961 	 TACHO = 1.007824 	 SOURCE = 0.783863 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.235159 	 TACHO = 1.007824 	 SOURCE = 0.772665 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.425526 	 TACHO = 1.007824 	 SOURCE = 0.582298 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.425526 	 TACHO = 1.007824 	 SOURCE = 0.582298 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.436724 	 TACHO = 1.007824 	 SOURCE = 0.571100 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.447922 	 TACHO = 1.007824 	 SOURCE = 0.559902 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.447922 	 TACHO = 1.007824 	 SOURCE = 0.559902 
OUT = 98.000000 	 PREOUT = 100.000000 	 ERROR = -0.447922 	 TACHO = 1.007824 	 SOURCE = 0.559902 
OUT = 96.000000 	 PREOUT = 98.000000 	 ERROR = -0.447922 	 TACHO = 1.007824 	 SOURCE = 0.559902 
OUT = 98.000000 	 PREOUT = 96.000000 	 ERROR = 0.022396 	 TACHO = 0.537506 	 SOURCE = 0.559902 
OUT = 96.000000 	 PREOUT = 98.000000 	 ERROR = -0.414328 	 TACHO = 0.974230 	 SOURCE = 0.559902 
