ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 13:40:05 400m





Relative time;HS4D-5(24422).Ch4;HS4D-5(24422).Ch3;HS4D-5(24422).Ch1;HS4D-5(24422).Ch2
s;V;V;V;V
1.26285;-0.22494888;1.3074566;386.96742;386.42715
1.2629;-0.31492843;1.2543412;388.97243;388.42315
1.26295;-0.10224949;1.4055158;390.57644;390.01996
1.263;-0.12678937;1.4055158;392.18045;391.21756
1.26305;-0.1799591;1.3646578;393.38346;393.21357
1.2631;-0.11860941;1.4096016;394.58647;394.41118
1.26315;-0.22494888;1.3442288;395.38847;395.20958
1.2632;-0.077709611;1.4382022;396.99248;396.00798
1.26325;-0.26584867;1.3115424;396.59148;396.80639
1.2633;-0.32310838;1.2625128;398.19549;396.80639
1.26335;-0.35582822;1.258427;398.99749;397.20559
1.2634;-0.29038855;1.2911134;397.79449;397.20559
1.26345;-0.044989775;1.4749745;397.39348;397.60479
1.2635;-0.21267894;1.3524004;398.59649;397.20559
1.26355;-0.26584867;1.3278856;397.79449;397.60479
1.2636;-0.13496933;1.421859;397.39348;396.40719
1.26365;-0.20449898;1.3564862;396.99248;396.00798
1.2637;-0.040899796;1.4913177;396.19048;395.20958
1.26375;-0.21676892;1.360572;395.78947;395.20958
1.2638;-0.23312883;1.360572;394.58647;393.61277
1.26385;-0.11860941;1.442288;393.78446;392.01597
1.2639;-0.18813906;1.3850868;392.18045;390.81836
1.26395;-0.020449898;1.5076609;390.57644;389.22156
1.264;-0.16359918;1.4259448;388.97243;388.42315
1.26405;-0.10224949;1.4545455;386.96742;386.42715
1.2641;-0.13087935;1.4463739;385.36341;384.83034
1.26415;-0.19222904;1.3932584;382.55639;382.03593
1.2642;-0.08997955;1.4545455;378.94737;378.04391
1.26425;-0.28629857;1.3237998;375.73935;374.8503
1.2643;-0.18404908;1.381001;372.53133;371.65669
1.26435;-0.20858896;1.381001;370.52632;368.86228
1.2644;-0.21676892;1.3687436;367.7193;367.26547
1.26445;-0.016359918;1.5035751;364.91228;363.67265
1.2645;-0.25766871;1.3442288;362.90727;362.47505
1.26455;-0.18404908;1.3891726;361.30326;359.28144
1.2646;-0.17177914;1.40143;357.69424;356.08782
1.26465;-0.23312883;1.3524004;353.68421;352.89421
1.2647;-0.16359918;1.3973442;349.67419;348.9022
1.26475;-0.19222904;1.3728294;347.66917;347.30539
1.2648;-0.23312883;1.3442288;346.06516;344.51098
1.26485;-0.34764826;1.2706844;343.25815;341.71657
1.2649;-0.24948875;1.340143;339.64912;338.92216
1.26495;-0.11451943;1.4136874;336.4411;335.72854
1.265;-0.23312883;1.340143;334.83709;333.73253
1.26505;-0.1799591;1.3769152;331.62907;330.53892
1.2651;-0.21267894;1.360572;328.42105;327.74451
1.26515;-0.20449898;1.3646578;326.01504;324.9501
1.2652;0.020449898;1.5321757;324.81203;323.7525
1.26525;-0.098159509;1.4668029;325.21303;324.5509
1.2653;-0.044989775;1.4994893;326.41604;324.9501
1.26535;-0.09406953;1.4790603;327.21805;326.54691
1.2654;-0.044989775;1.5158325;326.41604;325.3493
1.26545;0.11451943;1.6261491;326.81704;325.3493
1.2655;0.47852761;2.0183861;344.46115;343.71257
1.26555;0.30265849;1.8386108;348.07018;346.90619
1.2656;0.15541922;1.7201226;351.2782;350.8982
1.26565;0.016359918;1.6179775;355.28822;354.09182
1.2657;0.19631902;1.7405516;358.49624;357.28543
1.26575;0.077709611;1.6670072;361.70426;360.47904
1.2658;0.081799591;1.6751788;364.51128;364.07186
